year,month,lat,lon,lat5c,lon5c,hhooks,cpue_yft,cpue_bet,cpue_alb,cpue_total,sst,ssh,mld,current_speed,sst_gradient_max,ssh_variance,front_strength,chl,do_surface,season_sin,season_cos
2011,1,0.000000,120.000000,2.500000,122.500000,17475.070000,19.240266,4.483530,0.000000,23.723796,29.612510,0.777489,12.554740,0.307494,134.413424,0.025311,0.063004,0.111579,201.389008,0.500000,0.866025
2011,1,0.000000,125.000000,2.500000,127.500000,22975.870000,19.458806,4.264996,0.000000,23.723802,29.604017,0.756217,14.577343,0.307716,139.090157,0.028025,0.138536,0.100547,200.394653,0.500000,0.866025
2011,1,0.000000,130.000000,2.500000,132.500000,11860.340000,19.742520,11.089227,0.001771,30.833517,29.988712,0.789958,19.919540,0.287277,119.653204,0.018380,0.022506,0.084382,199.780777,0.500000,0.866025
2011,1,0.000000,135.000000,2.500000,137.500000,1249.870000,41.760343,9.699409,0.000000,51.459752,30.135822,0.801989,22.777660,0.317342,0.721056,0.021431,0.000278,0.078806,199.107407,0.500000,0.866025
2011,1,0.000000,140.000000,2.500000,142.500000,2745.220000,14.514319,19.870903,0.030234,34.415457,30.079106,0.795927,26.265714,0.263422,0.663787,0.014171,0.000000,0.094697,199.598328,0.500000,0.866025
2011,1,0.000000,145.000000,2.500000,147.500000,2416.510000,14.679434,12.586747,0.021519,27.287700,29.838913,0.787363,25.369063,0.291950,0.583703,0.015829,0.000000,0.152502,200.910080,0.500000,0.866025
2011,1,0.000000,150.000000,2.500000,152.500000,1536.670000,10.428394,9.217984,0.000000,19.646378,29.285169,0.772261,24.619579,0.278148,0.337797,0.015101,0.000000,0.192488,200.731567,0.500000,0.866025
2011,1,0.000000,155.000000,2.500000,157.500000,5071.640000,16.103667,7.152519,0.299903,23.556088,28.927830,0.750621,22.659231,0.267293,0.406735,0.016570,0.000000,0.203842,200.369400,0.500000,0.866025
2011,1,0.000000,160.000000,2.500000,162.500000,6371.950000,21.355001,5.310933,3.824732,30.490666,28.350458,0.727840,23.302028,0.291708,0.664844,0.018802,0.000000,0.203366,201.230408,0.500000,0.866025
2011,1,0.000000,165.000000,2.500000,167.500000,6567.650000,8.122388,7.866741,0.291581,16.280709,27.979676,0.708758,22.226391,0.345508,90.181226,0.024767,0.002779,0.218202,202.342422,0.500000,0.866025
2011,1,0.000000,170.000000,2.500000,172.500000,9865.000000,22.967258,10.980841,0.244095,34.192195,27.802153,0.688210,28.169233,0.303410,123.934986,0.014729,0.019537,0.232335,204.065292,0.500000,0.866025
2011,1,0.000000,-170.000000,2.500000,-167.500000,4700.240000,3.283875,13.643559,0.219138,17.146571,,,,,,,,,,0.500000,0.866025
2011,1,0.000000,175.000000,2.500000,177.500000,11343.590000,8.621521,16.140040,0.371575,25.133137,27.318312,0.661327,36.786165,0.273459,0.669262,0.023736,0.000000,0.211715,205.153824,0.500000,0.866025
2011,1,0.000000,-175.000000,2.500000,-172.500000,8436.010000,4.484703,14.028551,0.119251,18.632505,,,,,,,,,,0.500000,0.866025
2011,1,0.000000,-180.000000,2.500000,-177.500000,2978.050000,5.374658,25.027115,0.495626,30.897399,,,,,,,,,,0.500000,0.866025
2011,1,5.000000,110.000000,7.500000,112.500000,1897.980000,13.479067,0.000000,0.000000,13.479067,27.037686,0.717824,16.942860,0.234532,128.341635,0.077605,0.100000,0.178931,206.414413,0.500000,0.866025
2011,1,5.000000,115.000000,7.500000,117.500000,3200.320000,27.074480,0.034997,0.000000,27.109477,28.543625,0.795845,18.720237,0.216359,131.823958,0.037652,0.150309,0.128636,201.407928,0.500000,0.866025
2011,1,5.000000,125.000000,7.500000,127.500000,1101.940000,9.393433,2.822295,0.000000,12.215729,29.075985,0.665829,24.414961,0.400447,131.074936,0.065736,0.101161,0.103926,199.278519,0.500000,0.866025
2011,1,5.000000,135.000000,7.500000,137.500000,6881.820000,11.813881,15.604012,0.056090,27.473982,29.582050,0.703793,29.032230,0.354514,130.439344,0.048151,0.007789,0.077980,198.171036,0.500000,0.866025
2011,1,5.000000,140.000000,7.500000,142.500000,1155.870000,22.803602,26.103282,0.000000,48.906884,29.549818,0.742337,39.025461,0.242260,1.030256,0.036400,0.010000,0.073773,198.159897,0.500000,0.866025
2011,1,5.000000,150.000000,7.500000,152.500000,1059.630000,7.935789,10.606532,0.000000,18.542321,29.181855,0.733725,40.495184,0.131585,117.285198,0.036920,0.015033,0.102191,199.750488,0.500000,0.866025
